length	cima	cima_log
10000	0.025000	0.000000
20000	0.049000	0.001000
30000	0.072000	0.001000
40000	0.096000	0.001000
50000	0.120000	0.001000
60000	0.145000	0.000000
70000	0.183000	0.001000
80000	0.193000	0.001000
90000	0.216000	0.001000
100000	0.240000	0.001000
110000	0.302000	0.001000
120000	0.313000	0.001000
130000	0.313000	0.000000
140000	0.337000	0.001000
150000	0.374000	0.001000
160000	0.385000	0.000000
170000	0.423000	0.001000
180000	0.432000	0.001000
190000	0.507000	0.001000
200000	0.481000	0.001000
210000	0.539000	0.001000
220000	0.561000	0.001000
230000	0.569000	0.001000
240000	0.576000	0.001000
250000	0.614000	0.001000
260000	0.639000	0.001000
270000	0.649000	0.000000
280000	0.712000	0.001000
290000	0.710000	0.001000
300000	0.739000	0.001000
310000	0.758000	0.001000
320000	0.783000	0.001000
330000	0.806000	0.000000
340000	0.830000	0.001000
350000	0.840000	0.000000
360000	0.878000	0.001000
370000	0.914000	0.001000
380000	0.927000	0.001000
390000	0.956000	0.000000
400000	1.009000	0.001000
410000	1.011000	0.001000
420000	1.042000	0.001000
430000	1.047000	0.001000
440000	1.083000	0.001000
450000	1.094000	0.001000
460000	1.133000	0.001000
470000	1.142000	0.001000
480000	1.167000	0.001000
490000	1.217000	0.001000
500000	1.264000	0.001000
510000	1.253000	0.001000
520000	1.262000	0.001000
530000	1.333000	0.001000
540000	1.381000	0.001000
550000	1.335000	0.001000
560000	1.359000	0.001000
570000	1.408000	0.001000
580000	1.424000	0.001000
590000	1.444000	0.001000
600000	1.454000	0.001000
610000	1.491000	0.001000
620000	1.527000	0.001000
630000	1.573000	0.001000
640000	1.568000	0.001000
650000	1.613000	0.001000
660000	1.612000	0.001000
670000	1.635000	0.001000
680000	1.659000	0.001000
690000	1.683000	0.000000
700000	1.694000	0.001000
710000	1.758000	0.001000
720000	1.792000	0.001000
730000	1.781000	0.001000
740000	1.796000	0.001000
750000	1.840000	0.001000
760000	1.867000	0.000000
770000	1.886000	0.001000
780000	1.899000	0.001000
790000	1.924000	0.001000
800000	1.990000	0.001000
810000	1.980000	0.001000
820000	2.003000	0.001000
830000	2.046000	0.001000
840000	2.044000	0.001000
850000	2.067000	0.001000
860000	2.126000	0.001000
870000	2.121000	0.001000
880000	2.191000	0.001000
890000	2.220000	0.001000
900000	2.203000	0.001000
910000	2.235000	0.001000
920000	2.257000	0.001000
930000	2.289000	0.001000
940000	2.318000	0.001000
950000	2.338000	0.001000
960000	2.390000	0.001000
970000	2.367000	0.001000
980000	2.385000	0.001000
990000	2.448000	0.001000
